annee,iso3_origine,nb_cat,deces,affect
2021,SWZ,1,0.0,0.0
2021,TCD,1,32.0,269180.0
2021,TUN,7,166.0,1002.0
2021,TZA,4,46.0,2132038.0
2021,UGA,4,37.0,117469.0
2021,ZAF,4,58.0,12012437.0
2021,ZMB,2,19.0,1580005.0
2021,ZWE,2,3.0,169900.0
2022,BEN,1,44.0,73000.0
2022,BFA,2,63.0,3500928.0
2022,CAF,4,16.0,2374518.0
2022,CIV,2,34.0,11597.0
2022,CMR,7,343.0,2556210.0
2022,COD,12,370.0,26234390.0
2022,COG,2,34.0,164716.0
2022,COM,1,14.0,0.0
2022,CPV,1,0.0,46093.0
2022,DJI,1,0.0,192168.0
2022,DZA,2,60.0,6771.0
2022,EGY,7,129.0,100.0
2022,ETH,3,271.0,24384831.0
2022,GHA,3,24.0,8374.0
2022,GIN,3,42.0,49536.0
2022,GMB,1,6.0,17201.0
2022,KEN,2,239.0,12123.0
2022,LBR,1,71.0,5528.0
2022,LBY,3,79.0,10.0
2022,MAR,3,75.0,77.0
2022,MDG,7,224.0,490384.0
2022,MLI,2,10.0,1814765.0
2022,MOZ,4,203.0,1023763.0
2022,MRT,1,14.0,28926.0
2022,MUS,1,1.0,139.0
2022,MWI,6,1902.0,3777400.0
2022,NER,2,195.0,4722185.0
2022,NGA,14,1102.0,21919406.0
2022,RWA,3,29.0,1300.0
2022,SDN,2,146.0,12188422.0
2022,SEN,3,25.0,20031.0
2022,SLE,2,12.0,13936.0
2022,SOM,2,0.0,16444.0
2022,SSD,1,0.0,1000000.0
2022,STP,1,0.0,1187.0
2022,SWZ,1,0.0,1058.0
2022,TCD,2,22.0,3235591.0
2022,TGO,2,13.0,18611.0
2022,TUN,5,73.0,4097.0
2022,TZA,7,103.0,60672.0
2022,UGA,7,2607.0,599312.0
2022,ZAF,10,629.0,199341.0
2022,ZMB,1,3.0,21582.0
2022,ZWE,4,785.0,9622.0
2023,AGO,2,84.0,160725.0
2023,BDI,2,21.0,9585.0
2023,BEN,2,56.0,20.0
2023,BFA,2,20.0,3050.0
2023,BWA,1,0.0,37000.0
2023,CAF,1,0.0,6066.0
2023,CIV,1,0.0,0.0
2023,CMR,5,99.0,95283.0
2023,COD,8,2946.0,67726.0
2023,COG,3,106.0,1886137.0
2023,CPV,1,2.0,4002.0
2023,DZA,5,103.0,31731.0
2023,EGY,1,17.0,29.0
2023,ETH,2,151.0,1740000.0
2023,GAB,2,37.0,3124.0
2023,GHA,2,8.0,41114.0
2023,GIN,2,26.0,44631.0
2023,GNB,1,0.0,2065.0
2023,GNQ,1,23.0,1.0
2023,KEN,5,287.0,857191.0
2023,LBR,1,40.0,30.0
2023,LBY,2,13260.0,1600000.0
2023,LSO,2,2.0,700017.0
2023,MAR,4,2981.0,845701.0
2023,MDG,4,117.0,389977.0
2023,MLI,2,50.0,1195.0
2023,MOZ,4,338.0,4654026.0
2023,MRT,1,1.0,7200.0
2023,MUS,1,1.0,2500.0
2023,MWI,2,1233.0,2269644.0
2023,NAM,1,0.0,2190.0
2023,NER,1,41.0,169651.0
2023,NGA,12,1675.0,52957.0
2023,RWA,2,141.0,51982.0
2023,SEN,3,60.0,52.0
2023,SLE,1,15.0,17.0
2023,SOM,6,239.0,3334387.0
2023,SSD,1,1.0,178.0
2023,TCD,1,20.0,7.0
2023,TUN,5,135.0,75.0
2023,TZA,4,140.0,2904841.0
2023,UGA,4,69.0,1016.0
2023,ZAF,12,215.0,12235.0
2023,ZMB,6,797.0,196840.0
2023,ZWE,2,721.0,4217.0
