annee,iso3_accueil,iso3_origine,nb_demandes
2018,IRL,COG,5
2018,IRL,DZA,70
2018,IRL,EGY,16
2018,IRL,GHA,13
2018,IRL,GMB,5
2018,IRL,MAR,8
2018,IRL,MUS,14
2018,IRL,MWI,47
2018,IRL,NGA,171
2018,IRL,SDN,7
2018,IRL,SEN,5
2018,IRL,SLE,10
2018,IRL,SOM,5
2018,IRL,TUN,10
2018,IRL,UGA,5
2018,IRL,ZAF,85
2018,IRL,ZWE,136
2018,LUX,DZA,5
2018,LUX,ERI,5
2018,LUX,GMB,5
2018,LUX,MAR,5
2018,MLT,EGY,15
2018,MLT,ERI,52
2018,MLT,ETH,26
2018,MLT,GIN,5
2018,MLT,GMB,11
2018,MLT,LBY,68
2018,MLT,MAR,6
2018,MLT,MLI,5
2018,MLT,NER,19
2018,MLT,NGA,5
2018,MLT,SDN,13
2018,MLT,SEN,6
2018,MLT,SLE,5
2018,MLT,SOM,364
2018,MLT,TCD,5
2018,MLT,TUN,5
2018,NOR,AGO,21
2018,NOR,BDI,5
2018,NOR,CIV,5
2018,NOR,CMR,5
2018,NOR,COD,16
2018,NOR,DZA,7
2018,NOR,EGY,10
2018,NOR,ERI,189
2018,NOR,ETH,184
2018,NOR,GIN,9
2018,NOR,GMB,5
2018,NOR,LBR,5
2018,NOR,LBY,12
2018,NOR,MAR,21
2018,NOR,NER,5
2018,NOR,NGA,26
2018,NOR,RWA,6
2018,NOR,SDN,22
2018,NOR,SOM,93
2018,NOR,TUN,7
2018,NOR,UGA,5
2018,SVN,DZA,5
2018,SVN,MAR,5
2018,SWE,AGO,26
2018,SWE,BDI,29
2018,SWE,BFA,5
2018,SWE,CAF,6
2018,SWE,CIV,15
2018,SWE,CMR,59
2018,SWE,COD,45
2018,SWE,COG,12
2018,SWE,DJI,13
2018,SWE,DZA,65
2018,SWE,EGY,213
2018,SWE,ERI,144
2018,SWE,ETH,428
2018,SWE,GAB,5
2018,SWE,GHA,26
2018,SWE,GIN,28
2018,SWE,GMB,87
2018,SWE,GNB,5
2018,SWE,KEN,24
2018,SWE,LBR,6
2018,SWE,LBY,59
2018,SWE,MAR,240
2018,SWE,MLI,5
2018,SWE,NGA,261
2018,SWE,RWA,17
2018,SWE,SDN,91
2018,SWE,SEN,19
2018,SWE,SLE,16
2018,SWE,SOM,825
2018,SWE,TCD,6
2018,SWE,TUN,79
2018,SWE,TZA,31
2018,SWE,UGA,40
2018,SWE,ZAF,9
2018,SWE,ZMB,5
2019,CYP,CMR,16
2019,CYP,COD,18
2019,CYP,EGY,60
2019,DNK,BDI,5
2019,DNK,CMR,12
2019,DNK,COG,13
2019,DNK,DZA,6
2019,DNK,EGY,5
2019,DNK,ERI,18
2019,DNK,ETH,5
2019,DNK,GIN,5
2019,DNK,KEN,5
2019,DNK,MAR,11
2019,DNK,NGA,14
2019,DNK,SDN,5
2019,DNK,SEN,5
2019,DNK,SOM,105
2019,DNK,TUN,8
2019,DNK,UGA,6
2019,FRA,AGO,425
2019,FRA,BDI,63
2019,FRA,BEN,57
2019,FRA,BFA,80
2019,FRA,CAF,171
2019,FRA,CIV,2554
2019,FRA,CMR,335
2019,FRA,COD,2134
2019,FRA,COG,529
2019,FRA,COM,205
2019,FRA,DJI,22
2019,FRA,DZA,1071
2019,FRA,EGY,287
2019,FRA,ERI,244
2019,FRA,ESH,206
2019,FRA,ETH,241
2019,FRA,GAB,106
2019,FRA,GHA,52
2019,FRA,GIN,4718
2019,FRA,GMB,117
2019,FRA,GNB,60
2019,FRA,GNQ,5
2019,FRA,KEN,26
2019,FRA,LBR,24
2019,FRA,LBY,238
2019,FRA,MAR,252
2019,FRA,MDG,35
2019,FRA,MLI,2415
2019,FRA,MRT,988
2019,FRA,NER,29
2019,FRA,NGA,2271
2019,FRA,RWA,89
2019,FRA,SDN,1482
2019,FRA,SEN,1185
2019,FRA,SLE,126
2019,FRA,SOM,1142
2019,FRA,SSD,14
2019,FRA,TCD,618
2019,FRA,TGO,109
2019,FRA,TUN,162
2019,FRA,TZA,14
2019,FRA,UGA,13
2019,FRA,ZAF,10
2019,FRA,ZWE,5
2019,HRV,DZA,15
2019,IRL,AGO,10
2019,IRL,BWA,5
2019,IRL,CIV,5
2019,IRL,CMR,11
2019,IRL,COD,74
2019,IRL,DZA,67
2019,IRL,EGY,19
2019,IRL,GHA,16
2019,IRL,LBY,5
2019,IRL,MAR,9
2019,IRL,MUS,9
2019,IRL,MWI,75
2019,IRL,NGA,139
2019,IRL,SDN,9
2019,IRL,SLE,7
2019,IRL,SWZ,14
2019,IRL,ZAF,106
2019,IRL,ZWE,205
2019,MLT,BFA,5
2019,MLT,CIV,11
2019,MLT,EGY,13
2019,MLT,ERI,18
2019,MLT,ETH,9
2019,MLT,GHA,16
2019,MLT,GIN,10
2019,MLT,GMB,140
2019,MLT,LBY,33
2019,MLT,MAR,15
2019,MLT,MLI,6
2019,MLT,NGA,38
2019,MLT,SDN,5
2019,MLT,SEN,20
2019,MLT,SLE,7
2019,MLT,SOM,213
2019,NOR,AGO,8
2019,NOR,BDI,5
2019,NOR,CMR,8
2019,NOR,COD,6
2019,NOR,DZA,5
2019,NOR,EGY,5
2019,NOR,ERI,87
2019,NOR,ETH,67
2019,NOR,GHA,9
2019,NOR,GIN,7
2019,NOR,GMB,5
2019,NOR,KEN,6
2019,NOR,LBY,9
2019,NOR,MAR,15
2019,NOR,NGA,8
2019,NOR,RWA,6
2019,NOR,SDN,8
2019,NOR,SOM,86
2019,NOR,TUN,6
2019,NOR,UGA,5
2019,POL,AGO,5
2019,POL,DZA,7
2019,POL,EGY,9
2019,POL,ETH,5
2019,POL,GMB,5
2019,POL,NGA,5
2019,POL,UGA,5
2019,SVN,DZA,6
2019,SVN,MAR,6
2019,SWE,AGO,21
2019,SWE,BDI,58
2019,SWE,BFA,5
2019,SWE,CIV,13
2019,SWE,CMR,81
2019,SWE,COD,47
2019,SWE,COG,5
2019,SWE,DJI,9
2019,SWE,DZA,50
2019,SWE,EGY,302
2019,SWE,ERI,143
2019,SWE,ETH,308
2019,SWE,GAB,5
2019,SWE,GHA,37
2019,SWE,GIN,34
2019,SWE,GMB,100
2019,SWE,GNB,5
2019,SWE,KEN,32
2019,SWE,LBR,8
2019,SWE,LBY,73
2019,SWE,MAR,180
2019,SWE,MLI,9
2019,SWE,MRT,6
2019,SWE,NGA,263
2019,SWE,RWA,31
2019,SWE,SDN,68
2019,SWE,SEN,15
2019,SWE,SLE,14
2019,SWE,SOM,426
2019,SWE,TGO,5
2019,SWE,TUN,84
2019,SWE,TZA,37
2019,SWE,UGA,29
2019,SWE,ZAF,6
2019,SWE,ZWE,11
2020,DNK,CMR,5
2020,DNK,COD,7
2020,DNK,DZA,5
2020,DNK,EGY,5
2020,DNK,ERI,22
2020,DNK,ETH,5
2020,DNK,GHA,5
2020,DNK,KEN,5
2020,DNK,MAR,13
2020,DNK,NGA,5
2020,DNK,SDN,7
2020,DNK,SOM,89
2020,DNK,TUN,5
2020,DNK,UGA,5
2020,FRA,AGO,677
2020,FRA,BDI,178
2020,FRA,BEN,48
2020,FRA,BFA,85
2020,FRA,CAF,186
2020,FRA,CIV,2565
2020,FRA,CMR,451
2020,FRA,COD,1714
2020,FRA,COG,491
2020,FRA,COM,331
2020,FRA,DJI,24
2020,FRA,DZA,751
2020,FRA,EGY,150
2020,FRA,ERI,206
2020,FRA,ESH,111
2020,FRA,ETH,210
2020,FRA,GAB,86
